Company,Sector,State,City,Roles,LinkedIn,Website
Axis Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/axis-bank,https://www.axisbank.com/
City Union Bank,Banking & Finance,India,Kudanthaiyan,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/city-union-bank,http://www.cityunionbank.com/
Steel Authority of India Limited,Steel & Metals,India,India,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/steel-authority-of-india-limited,http://www.sail.co.in
Singareni Collieries Company,Mining,India,Kothagudem,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/singareni-collieries-company,http://scclmines.com/
BPL Group,Electronics,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bpl-group,http://www.bpl.in
Grasim Industries,General,India,India,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/grasim-industries,http://www.grasim.com/
Tata Motors Ltd,Automotive,Maharashtra,Mumbai,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/tata-motors-ltd,https://www.tatamotors.com/
ICICI Bank,Banking & Finance,Maharashtra,Mumbai City District,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/icici-bank,https://www.icicibank.com/
BEML Limited,Automotive,Karnataka,Bengaluru,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/beml-limited,http://www.bemlindia.com/
Cipla,Pharmaceuticals,Maharashtra,Mumbai,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/cipla,http://www.cipla.com
Motilal Banarsidass,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/motilal-banarsidass,http://www.mlbd.com/
South Indian Bank,Banking & Finance,India,Thrissur,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/south-indian-bank,http://www.southindianbank.com
Tata Consumer Products,Food & Beverage,West Bengal,Kolkata,"Food Technologist, Production Manager, Quality Control Executive",https://www.linkedin.com/company/tata-consumer-products,https://www.tataconsumer.com
Bank of Baroda,Banking & Finance,Gujarat,Vadodara,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/bank-of-baroda,https://www.bankofbaroda.in/
Infosys,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/infosys,https://www.infosys.com/
Oil and Natural Gas Corporation,Energy,India,Dehradun,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/oil-and-natural-gas-corporation,https://www.ongcindia.com/
RITES,General,India,India,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/rites,http://new.rites.com/
State Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/state-bank-of-india,https://www.sbi.co.in
Indian Bank,Banking & Finance,Tamil Nadu,Chennai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/indian-bank,https://www.indianbank.in/
Federal Bank,Banking & Finance,India,N/A,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/federal-bank,https://www.federalbank.co.in/
HDFC Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/hdfc-bank,https://hdfc.bank.in/
Reliance Industries Limited,Energy,Maharashtra,Mumbai,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/reliance-industries-limited,https://www.ril.com/
Syndicate Bank,Banking & Finance,India,Manipal,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/syndicate-bank,https://www.syndicatebank.in/
Bharat Heavy Electricals Limited,Information Technology,India,New Delhi,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/bharat-heavy-electricals-limited,http://www.bhel.com/
Singareni Collieries Company,Mining,India,Kothagudem,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/singareni-collieries-company,http://scclmines.com/
Emlyon Business School,Education,India,Lyon,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/emlyon-business-school,https://www.em-lyon.com/
Coal India Limited,Mining,West Bengal,Kolkata,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/coal-india-limited,http://www.coalindia.in/
Reliance Communications,Telecommunications,Maharashtra,Navi Mumbai,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/reliance-communications,http://www.rcom.co.in/
Allahabad Bank,Banking & Finance,West Bengal,Kolkata,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/allahabad-bank,N/A
Loop Mobile,Telecommunications,Maharashtra,Mumbai,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/loop-mobile,http://www.loopmobile.in/
Emlyon Business School,Education,India,Lyon,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/emlyon-business-school,http://www.em-lyon.com.cn/
Corporation Bank,Banking & Finance,India,Mangaluru,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/corporation-bank,http://www.corpbank.com/
Hindustan Aeronautics Limited,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hindustan-aeronautics-limited,https://hal-india.co.in/
Hindustan Aeronautics Limited,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hindustan-aeronautics-limited,https://hal-india.co.in/hindi/index.aspx
Tata Chemicals,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/tata-chemicals,https://www.tatachemicals.com/
Kotak Mahindra Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/kotak-mahindra-bank,https://www.kotak.com/
Ashok Leyland,Automotive,Tamil Nadu,Chennai,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/ashok-leyland,https://ashokleyland.com
Trent Limited,Retail,Maharashtra,Mumbai,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/trent-limited,https://trentlimited.com/
Crest Animation Studios,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/crest-animation-studios,N/A
ITC Limited,Conglomerate,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/itc-limited,https://www.itcportal.com/
Wipro,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/wipro,https://www.wipro.com/
Sahara India Pariwar,Conglomerate,India,Samastipur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sahara-india-pariwar,http://www.sahara.in/
Aditya Birla Group,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/aditya-birla-group,http://www.adityabirla.com
Indian Overseas Bank,Banking & Finance,Tamil Nadu,Chennai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/indian-overseas-bank,https://www.iob.in
ICICI Bank,Banking & Finance,Maharashtra,Mumbai City District,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/icici-bank,https://www.icicibank.com/
Mazagon Dock Shipbuilders,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/mazagon-dock-shipbuilders,http://www.mazagondock.gov.in/
DLF Limited,Retail,Haryana,Gurgaon,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/dlf-limited,http://www.dlf.in
DLF Limited,Retail,Haryana,Gurgaon,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/dlf-limited,https://godrejokhla.co.in/
TNEB Limited,General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/tneb-limited,N/A
South Indian Bank,Banking & Finance,India,Thrissur,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/south-indian-bank,http://www.southindianbank.com
Union Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/union-bank-of-india,http://www.unionbankofindia.co.in/
Union Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/union-bank-of-india,https://www.unionbankonline.co.in/
NIIT,Education,India,New Delhi,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/niit,http://www.niit.com/
Mahanagar Telephone Nigam,Information Technology,India,New Delhi,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/mahanagar-telephone-nigam,http://www.mtnl.net.in/
Bharti Airtel,Telecommunications,India,New Delhi,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/bharti-airtel,https://www.airtel.com
Dhanlaxmi Bank,Banking & Finance,India,Thrissur,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/dhanlaxmi-bank,http://www.dhanbank.com/
Emlyon Business School,Education,India,Lyon,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/emlyon-business-school,https://certificate.em-lyon.com
Emlyon Business School,Education,India,Lyon,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/emlyon-business-school,https://executive.em-lyon.com/
Reliance Communications,Telecommunications,Maharashtra,Mumbai,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/reliance-communications,http://www.rcom.co.in/
Indian Bank,Banking & Finance,Tamil Nadu,Chennai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/indian-bank,https://www.indianbank.in/
Axis Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/axis-bank,https://www.axisbank.com/
Shapoorji Pallonji Group,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/shapoorji-pallonji-group,http://www.shapoorjipallonji.com/
Corporation Bank,Banking & Finance,India,Mangaluru,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/corporation-bank,http://www.corpbank.com/
Tata Coffee,Agriculture,Karnataka,Bengaluru,"Agronomist, Farm Manager, Agricultural Engineer",https://www.linkedin.com/company/tata-coffee,http://www.tatacoffee.com/
Hindustan Petroleum,Energy,Maharashtra,Mumbai,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/hindustan-petroleum,https://www.hindustanpetroleum.com/
Tata Steel,Steel & Metals,India,Bombay House,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/tata-steel,http://www.tatasteel.com/
Kotak Mahindra Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/kotak-mahindra-bank,https://www.kotak.com/
Bembos,Food & Beverage,India,Lima,"Food Technologist, Production Manager, Quality Control Executive",https://www.linkedin.com/company/bembos,http://www.bembos.com.pe
"International Institute of Information Technology, Hyderabad",General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/international-institute-of-information-technology-hyderabad,http://www.iiit.ac.in
Tech Mahindra India,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/tech-mahindra-india,https://www.techmahindra.com/en-in/
Force Motors,Automotive,Maharashtra,Pune,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/force-motors,http://www.forcemotors.com
Tata Starbucks,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/tata-starbucks,https://gcspatiala.co.in/wp/best-cafes-in-patiala/
Federal Bank,Banking & Finance,India,N/A,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/federal-bank,https://www.federalbank.co.in/
Doordarshan,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/doordarshan,http://www.ddindia.gov.in
State Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/state-bank-of-india,https://www.sbi.co.in
Unipro,General,India,Surgut,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/unipro,https://www.unipro.energy/
Unipro,General,India,Surgut,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/unipro,https://www.unipro.energy/en/
HDFC Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/hdfc-bank,https://hdfc.bank.in/
Wipro,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/wipro,https://www.wipro.com/
Syndicate Bank,Banking & Finance,India,Manipal,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/syndicate-bank,https://www.syndicatebank.in/
Emlyon Business School,General,India,Lyon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/emlyon-business-school,https://www.em-lyon.com/
Suzlon Energy,Energy,Maharashtra,Pune,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/suzlon-energy,https://www.suzlon.com/
Emlyon Business School,General,India,Lyon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/emlyon-business-school,http://www.em-lyon.com.cn/
Union Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/union-bank-of-india,http://www.unionbankofindia.co.in/
Union Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/union-bank-of-india,https://www.unionbankonline.co.in/
Indian Register of Shipping,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/indian-register-of-shipping,http://www.irclass.org
Flipkart,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/flipkart,https://www.flipkart.com/
Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/bank-of-india,https://bankofindia.co.in/
Tata Teleservices,Telecommunications,Maharashtra,Mumbai,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/tata-teleservices,http://www.tataindicom.com
Allahabad Bank,Banking & Finance,West Bengal,Kolkata,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/allahabad-bank,N/A
Reliance Infrastructure,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/reliance-infrastructure,https://www.rinfra.com/
United Bank of India,Banking & Finance,West Bengal,Kolkata,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/united-bank-of-india,N/A
Axis Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/axis-bank,https://www.axisbank.com/
Hindustan Aeronautics Limited,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hindustan-aeronautics-limited,https://hal-india.co.in/
Hindustan Aeronautics Limited,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hindustan-aeronautics-limited,https://hal-india.co.in/hindi/index.aspx
"International Institute of Information Technology, Hyderabad",General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/international-institute-of-information-technology-hyderabad,https://www.iiit.ac.in/
Dr. Reddy's Laboratories,Pharmaceuticals,Telangana,Hyderabad,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/dr-reddy-s-laboratories,http://www.drreddys.com/
ACC Limited,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/acc-limited,http://www.acclimited.com/
ACC Limited,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/acc-limited,https://dealers-nearme.acclimited.com/
Bharat Petroleum,Energy,Maharashtra,Mumbai,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/bharat-petroleum,https://www.bharatpetroleum.in
Reliance Communications,Information Technology,Maharashtra,Navi Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/reliance-communications,http://www.rcom.co.in/
Loop Mobile,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/loop-mobile,http://www.loopmobile.in/
Indian Overseas Bank,Banking & Finance,Tamil Nadu,Chennai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/indian-overseas-bank,https://www.iob.in
ICICI Bank,Banking & Finance,Maharashtra,Mumbai City District,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/icici-bank,https://www.icicibank.com/
Bharat Sanchar Nigam Limited,Telecommunications,India,New Delhi,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/bharat-sanchar-nigam-limited,https://www.bsnl.co.in
South Indian Bank,Banking & Finance,India,Thrissur,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/south-indian-bank,http://www.southindianbank.com
NTPC Limited,Information Technology,India,New Delhi,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/ntpc-limited,http://www.ntpc.co.in/
Hindalco Industries,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/hindalco-industries,http://www.hindalco.com
Emlyon Business School,General,India,Lyon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/emlyon-business-school,https://certificate.em-lyon.com
Emlyon Business School,General,India,Lyon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/emlyon-business-school,https://executive.em-lyon.com/
Mahindra & Mahindra,Automotive,Maharashtra,Mumbai,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/mahindra-mahindra,http://www.mahindra.com
Central Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/central-bank-of-india,https://www.centralbankofindia.co.in/
Indian Bank,Banking & Finance,Tamil Nadu,Chennai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/indian-bank,https://www.indianbank.in/
Tech Mahindra India,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/tech-mahindra-india,https://www.techmahindra.com/en-in/
Tata Power,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/tata-power,http://www.tatapower.com/
HDFC Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/hdfc-bank,https://hdfc.bank.in/
Syndicate Bank,Banking & Finance,India,Manipal,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/syndicate-bank,https://www.syndicatebank.in/
Dhamra Port,General,India,Bhubaneswar,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dhamra-port,https://www.adaniports.com/Ports-and-Terminals/dhamra-port
Hindustan Shipyard,Information Technology,Andhra Pradesh,Visakhapatnam,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hindustan-shipyard,https://www.hslvizag.in/
Central Depository Services Limited,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/central-depository-services-limited,https://www.cdslindia.com/
Telenor India,Telecommunications,Haryana,Gurgaon,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/telenor-india,http://www.uninor.in
Advertising Standards Council of India,Mining,Maharashtra,Mumbai,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/advertising-standards-council-of-india,http://www.ascionline.org/
